Geothermal Profiles for 13\%-Fe (Fe-free) Bridgmanite
P[GPa]    T[K]       rho[g/cc]     KS[GPa]     alpha[1e-5/K]    gamma         Cv/3Nk
106.4  2375 (2417)  5.38 (5.15)  597.4 (596.7)  1.35 (1.34)  1.23 (1.23)  0.9838 (0.9839)
108.7  2387 (2429)  5.40 (5.17)  604.5 (603.7)  1.34 (1.33)  1.23 (1.22)  0.9838 (0.9839)
110.9  2401 (2443)  5.42 (5.19)  611.5 (610.6)  1.32 (1.31)  1.22 (1.21)  0.9838 (0.9839)
113.2  2418 (2460)  5.44 (5.21)  618.5 (617.4)  1.31 (1.29)  1.22 (1.21)  0.9839 (0.9840)
115.4  2442 (2483)  5.46 (5.22)  625.4 (624.0)  1.30 (1.28)  1.22 (1.20)  0.9841 (0.9842)
117.7  2477 (2518)  5.47 (5.24)  632.1 (630.5)  1.29 (1.26)  1.22 (1.20)  0.9844 (0.9845)
120.0  2531 (2571)  5.49 (5.26)  638.6 (636.6)  1.28 (1.25)  1.22 (1.19)  0.9850 (0.9850)
122.2  2612 (2650)  5.50 (5.27)  644.8 (642.2)  1.27 (1.24)  1.21 (1.19)  0.9858 (0.9858)
124.5  2731 (2766)  5.52 (5.28)  650.5 (647.2)  1.26 (1.23)  1.21 (1.18)  0.9869 (0.9869)
126.8  2896 (2926)  5.53 (5.29)  655.6 (651.4)  1.26 (1.23)  1.21 (1.18)  0.9883 (0.9882)
129.0  3111 (3136)  5.53 (5.30)  660.2 (654.7)  1.25 (1.23)  1.21 (1.18)  0.9898 (0.9897)
131.3  3375 (3392)  5.53 (5.30)  664.2 (657.1)  1.25 (1.23)  1.21 (1.18)  0.9914 (0.9912)
133.5  3677 (3686)  5.53 (5.30)  667.8 (658.9)  1.25 (1.23)  1.21 (1.18)  0.9927 (0.9925)
135.8  4000 (4000)  5.53 (5.30)  671.1 (660.3)  1.25 (1.23)  1.21 (1.18)  0.9938 (0.9936)
